ProductID,Name,Platform,PlatformID,Year,Genre,GenreID,Publisher,PublisherID,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1,Wii Sports,Wii,1,2006,Sports,1,Nintendo,1,41.49,29.02,3.77,8.46,82.74
2,Super Mario Bros.,NES,2,1985,Platform,2,Nintendo,2,29.08,3.58,6.81,0.77,40.24
3,Mario Kart Wii,Wii,3,2008,Racing,3,Nintendo,3,15.85,12.88,3.79,3.31,35.82
4,Wii Sports Resort,Wii,4,2009,Sports,4,Nintendo,4,15.75,11.01,3.28,2.96,33
5,Pokemon Red/Pokemon Blue,GB,5,1996,Role-Playing,5,Nintendo,5,11.27,8.89,10.22,1,31.37
6,Tetris,GB,6,1989,Puzzle,6,Nintendo,6,23.2,2.26,4.22,0.58,30.26
7,New Super Mario Bros.,DS,7,2006,Platform,7,Nintendo,7,11.38,9.23,6.5,2.9,30.01
8,Wii Play,Wii,8,2006,Misc,8,Nintendo,8,14.03,9.2,2.93,2.85,29.02
9,New Super Mario Bros. Wii,Wii,9,2009,Platform,9,Nintendo,9,14.59,7.06,4.7,2.26,28.62
10,Duck Hunt,NES,10,1984,Shooter,10,Nintendo,10,26.93,0.63,0.28,0.47,28.31
11,Nintendogs,DS,11,2005,Simulation,11,Nintendo,11,9.07,11,1.93,2.75,24.76
12,Mario Kart DS,DS,12,2005,Racing,12,Nintendo,12,9.81,7.57,4.13,1.92,23.42
13,Pokemon Gold/Pokemon Silver,GB,13,1999,Role-Playing,13,Nintendo,13,9,6.18,7.2,0.71,23.1
14,Wii Fit,Wii,14,2007,Sports,14,Nintendo,14,8.94,8.03,3.6,2.15,22.72
15,Wii Fit Plus,Wii,15,2009,Sports,15,Nintendo,15,9.09,8.59,2.53,1.79,22
16,Kinect Adventures!,X360,16,2010,Misc,16,Microsoft Game Studios,16,14.97,4.94,0.24,1.67,21.82
17,Grand Theft Auto V,PS3,17,2013,Action,17,Take-Two Interactive,17,7.01,9.27,0.97,4.14,21.4
18,Grand Theft Auto: San Andreas,PS2,18,2004,Action,18,Take-Two Interactive,18,9.43,0.4,0.41,10.57,20.81
19,Super Mario World,SNES,19,1990,Platform,19,Nintendo,19,12.78,3.75,3.54,0.55,20.61
20,Brain Age: Train Your Brain in Minutes a Day,DS,20,2005,Misc,20,Nintendo,20,4.75,9.26,4.16,2.05,20.22
21,Pokemon Diamond/Pokemon Pearl,DS,21,2006,Role-Playing,21,Nintendo,21,6.42,4.52,6.04,1.37,18.36
22,Super Mario Land,GB,22,1989,Platform,22,Nintendo,22,10.83,2.71,4.18,0.42,18.14
23,Super Mario Bros. 3,NES,23,1988,Platform,23,Nintendo,23,9.54,3.44,3.84,0.46,17.28
24,Grand Theft Auto V,X360,24,2013,Action,24,Take-Two Interactive,24,9.63,5.31,0.06,1.38,16.38
25,Grand Theft Auto: Vice City,PS2,25,2002,Action,25,Take-Two Interactive,25,8.41,5.49,0.47,1.78,16.15
26,Pokemon Ruby/Pokemon Sapphire,GBA,26,2002,Role-Playing,26,Nintendo,26,6.06,3.9,5.38,0.5,15.85
27,Pokemon Black/Pokemon White,DS,27,2010,Role-Playing,27,Nintendo,27,5.57,3.28,5.65,0.82,15.32
28,Brain Age 2: More Training in Minutes a Day,DS,28,2005,Puzzle,28,Nintendo,28,3.44,5.36,5.32,1.18,15.3
29,Gran Turismo 3: A-Spec,PS2,29,2001,Racing,29,Sony Computer Entertainment,29,6.85,5.09,1.87,1.16,14.98
30,Call of Duty: Modern Warfare 3,X360,30,2011,Shooter,30,Activision,30,9.03,4.28,0.13,1.32,14.76
31,Pokémon Yellow: Special Pikachu Edition,GB,31,1998,Role-Playing,31,Nintendo,31,5.89,5.04,3.12,0.59,14.64
32,Call of Duty: Black Ops,X360,32,2010,Shooter,32,Activision,32,9.67,3.73,0.11,1.13,14.64
33,Pokemon X/Pokemon Y,3DS,33,2013,Role-Playing,33,Nintendo,33,5.17,4.05,4.34,0.79,14.35
